id,lat,lng,street_count,geometry
3592,22.4936769,113.9341013,3,POINT (113.9341013 22.4936769)
3593,22.4891986,113.9317426,4,POINT (113.9317426 22.4891986)
3594,22.4901696,113.9352102,4,POINT (113.9352102 22.4901696)
3595,22.4891746,113.9316357,4,POINT (113.9316357 22.4891746)
3596,22.4937511,113.9342998,3,POINT (113.9342998 22.4937511)
3597,22.5053771,113.932972,3,POINT (113.932972 22.5053771)
3598,22.506982,113.9329525,3,POINT (113.9329525 22.506982)
3599,22.4980625,113.9290353,4,POINT (113.9290353 22.4980625)
3600,22.5009183,113.932968,4,POINT (113.932968 22.5009183)
3601,22.5154676,113.9368625,4,POINT (113.9368625 22.5154676)
3602,22.5153863,113.9372111,3,POINT (113.9372111 22.5153863)
3603,22.5011626,113.9350661,3,POINT (113.9350661 22.5011626)
3604,22.5055134,113.9355657,3,POINT (113.9355657 22.5055134)
3605,22.5009357,113.9331761,4,POINT (113.9331761 22.5009357)
3606,22.4698985,113.8953672,3,POINT (113.8953672 22.4698985)
3607,22.4718516,113.8968982,3,POINT (113.8968982 22.4718516)
3608,22.4749176,113.898551,3,POINT (113.898551 22.4749176)
3609,22.4715919,113.8967147,2,POINT (113.8967147 22.4715919)
3610,22.4693985,113.8946326,3,POINT (113.8946326 22.4693985)
3611,22.4745692,113.8984586,3,POINT (113.8984586 22.4745692)
3612,22.4806024,113.9079809,3,POINT (113.9079809 22.4806024)
3613,22.5401789,113.9689206,3,POINT (113.9689206 22.5401789)
3614,22.5365681,113.982964,3,POINT (113.982964 22.5365681)
3615,22.5365062,113.9858261,3,POINT (113.9858261 22.5365062)
3616,22.5439052,113.9599073,3,POINT (113.9599073 22.5439052)
3617,22.5369231,113.9769097,3,POINT (113.9769097 22.5369231)
3618,22.5374424,113.9749126,3,POINT (113.9749126 22.5374424)
3619,22.542852,113.9608718,3,POINT (113.9608718 22.542852)
3620,22.5350215,113.9963309,3,POINT (113.9963309 22.5350215)
3621,22.5427227,113.9619932,3,POINT (113.9619932 22.5427227)
3622,22.5426162,113.9625913,3,POINT (113.9625913 22.5426162)
3623,22.5360157,113.9866137,3,POINT (113.9866137 22.5360157)
3624,22.5370708,113.9753546,3,POINT (113.9753546 22.5370708)
3625,22.5357997,114.0009369,3,POINT (114.0009369 22.5357997)
3626,22.5361125,113.9892917,3,POINT (113.9892917 22.5361125)
3627,22.5373278,113.9756711,3,POINT (113.9756711 22.5373278)
3628,22.5365815,113.9815358,3,POINT (113.9815358 22.5365815)
3629,22.5381772,113.9730376,3,POINT (113.9730376 22.5381772)
3630,22.5420402,113.9627262,3,POINT (113.9627262 22.5420402)
3631,22.5351283,113.9970788,3,POINT (113.9970788 22.5351283)
3632,22.5363039,113.9880533,3,POINT (113.9880533 22.5363039)
3633,22.5353941,113.9978891,3,POINT (113.9978891 22.5353941)
3634,22.5372629,113.9761134,3,POINT (113.9761134 22.5372629)
3635,22.5388617,113.9726265,3,POINT (113.9726265 22.5388617)
3636,22.5419977,113.9632087,3,POINT (113.9632087 22.5419977)
3637,22.5385755,113.9724422,3,POINT (113.9724422 22.5385755)
3638,22.5362639,113.9886914,3,POINT (113.9886914 22.5362639)
3639,22.5357969,114.0003069,3,POINT (114.0003069 22.5357969)
3640,22.5364044,113.9853371,3,POINT (113.9853371 22.5364044)
3641,22.5439657,113.959725,3,POINT (113.959725 22.5439657)
3642,22.5400635,113.9684511,3,POINT (113.9684511 22.5400635)
3643,22.5404709,113.968423,3,POINT (113.968423 22.5404709)
3644,22.5389603,113.9710691,3,POINT (113.9710691 22.5389603)
3645,22.5434667,113.9592005,3,POINT (113.9592005 22.5434667)
3646,22.5397323,113.9689932,3,POINT (113.9689932 22.5397323)
3647,22.54137,113.9656533,3,POINT (113.9656533 22.54137)
3648,22.5411148,113.9655754,3,POINT (113.9655754 22.5411148)
3649,22.516211,114.0599586,3,POINT (114.0599586 22.516211)
3650,22.5143376,114.0584527,3,POINT (114.0584527 22.5143376)
3651,22.5338071,114.0116598,3,POINT (114.0116598 22.5338071)
3652,22.5299494,114.0069381,3,POINT (114.0069381 22.5299494)
3653,22.5339153,114.0116208,3,POINT (114.0116208 22.5339153)
3654,22.6373949,114.1766668,4,POINT (114.1766668 22.6373949)
3655,22.6370789,114.1766897,4,POINT (114.1766897 22.6370789)
3656,22.5241887,113.950304,3,POINT (113.950304 22.5241887)
3657,22.5305395,113.9193692,4,POINT (113.9193692 22.5305395)
3658,22.4953864,113.9216816,3,POINT (113.9216816 22.4953864)
3659,22.7063203,114.219882,4,POINT (114.219882 22.7063203)
3660,22.6951053,114.2197368,5,POINT (114.2197368 22.6951053)
3661,22.7019152,114.2249337,4,POINT (114.2249337 22.7019152)
3662,22.697654,114.2166271,4,POINT (114.2166271 22.697654)
3663,22.6991776,114.2181057,3,POINT (114.2181057 22.6991776)
3664,22.6985394,114.2174948,3,POINT (114.2174948 22.6985394)
3665,22.728405,114.2335172,4,POINT (114.2335172 22.728405)
3666,22.6894435,114.2186295,4,POINT (114.2186295 22.6894435)
3667,22.6934636,114.2128246,4,POINT (114.2128246 22.6934636)
